generation,prop,correction_selection,error_selection,schemata_1_count,schemata_1_avg_fitness,schemata_1_std,schemata_0_count,schemata_0_avg_fitness,schemata_0_std
0,0.5,0,0,102,20.254901960784313,2.8203162329177704,98,18.8265306122449,3.198019716527816
1,0.528,765,445,107,21.906542056074766,2.439968721885721,93,20.21505376344086,2.582758309677564
2,0.5605,771,449,125,22.888,2.0682546795196277,75,21.64,2.485851857906955
3,0.594375,748,470,140,23.914285714285715,1.9097844026336197,60,23.45,2.2126370492840453
4,0.62125,705,460,141,24.94326241134752,1.5527535433425084,59,24.627118644067796,1.3883543357309607
5,0.6495,629,405,155,26.01290322580645,1.5118024710104039,45,25.866666666666667,1.3073220372543672
6,0.668375,554,382,162,26.796296296296298,1.15365413985134,38,26.473684210526315,1.0839577658388415
7,0.689625,526,362,161,27.60248447204969,1.0855845378504043,39,27.512820512820515,1.0481009109661872
8,0.7085,510,342,168,28.363095238095237,1.1808126463776767,32,28.21875,1.2632363710059404
9,0.728625,497,320,167,29.077844311377245,1.005970202294378,33,29.484848484848484,1.8221075043958732
10,0.74975,434,271,166,29.94578313253012,1.0342968573127822,34,30.205882352941178,1.3878130116974405
11,0.770875,396,225,161,30.788819875776397,0.9900122340670768,39,31.025641025641026,0.9028370339388787
12,0.790125,390,231,158,31.544303797468356,1.044213272922991,42,31.833333333333332,0.9348709749678821
13,0.80825,363,206,144,32.28472222222222,1.062147148777685,56,32.44642857142857,1.24928551008738
14,0.8255,335,188,147,32.95918367346939,0.9427266706856392,53,33.18867924528302,1.0751852036095726
15,0.84075,283,144,147,33.57142857142857,0.9508467747440151,53,33.79245283018868,0.7431350060085298
16,0.858125,319,191,133,34.30827067669173,0.8364829974165421,67,34.35820895522388,0.7323993888358139
17,0.869875,254,141,112,34.80357142857143,0.7454279345871107,88,34.78409090909091,0.7183772203522346
18,0.884875,218,107,107,35.54205607476636,0.7174427047240816,93,35.225806451612904,0.7090874763302192
19,0.897,177,73,117,36,0.7310832774866962,83,35.71084337349398,0.7076260636103477
20,0.909,177,76,131,36.43511450381679,0.7348389320244202,69,36.21739130434783,0.5387776256706227
21,0.9215,134,46,134,37.007462686567166,0.8179956123999138,66,36.56060606060606,0.659342046840587
22,0.934625,138,41,152,37.48026315789474,0.8454819131055596,48,37.083333333333336,0.7096098218674683
23,1,147,39,166,38.05421686746988,0.7726853928474543,34,37.588235294117645,0.4995541684356422
